config_idx,energy,fitness,packing_efficiency,biological_fitness,global_pressure,cell_count,avg_area_pixels,avg_aspect_ratio,avg_orientation_degrees,is_selected
6,121.38309976946812,0.7777950662016105,0.7407557951050512,0.7777950662016105,1.0,50,9275.88894080971,1.0,0.0,True
2,124.80300272250854,0.7833038039314189,0.7583170799642056,0.7833038039314189,1.0,50,9811.208075794026,1.0,0.0,False
9,125.83791592021007,0.7745072311272705,0.751223281111271,0.7745072311272705,1.0,50,9578.846440568135,1.0,0.0,False
3,132.79517675801378,0.7560921177056611,0.6256154376009571,0.7560921177056611,1.0,50,9247.09299761192,1.0,0.0,False
8,136.10054472462585,0.7547731586771955,0.7085215527499317,0.7547731586771955,1.0,50,9672.094664046135,1.0,0.0,False
4,139.89171393262848,0.7750293783413479,0.7926439540078206,0.7750293783413479,1.0,50,9470.45468197521,1.0,0.0,False
7,154.09043792357838,0.7566286120103797,0.7532195213344199,0.7566286120103797,1.0,50,9513.255148627724,1.0,0.0,False
1,157.17757062521275,0.7542299717432058,0.7593584863208944,0.7542299717432058,1.0,50,9600.989908327889,1.0,0.0,False
0,159.6101164086125,0.7673395782113114,0.7689055159036322,0.7673395782113114,1.0,50,9719.698782787938,1.0,0.0,False
5,164.94282939823748,0.7411142378932736,0.69049535650085,0.7411142378932736,1.0,50,9496.894383825602,1.0,0.0,False
